ngramme	nfeatures	precision	test_time
1	3000	75.33	1.01
1	6000	74.67	1.00
1	9000	74.50	1.04
1	12000	74.67	1.07
1	15000	75.00	1.07
1	18000	75.00	1.08
1	21000	75.00	1.06
1	24000	75.00	1.09
1	27000	75.00	1.07
1	30000	75.00	1.07
2	3000	76.66	1.53
2	6000	76.99	1.56
2	9000	77.32	1.62
2	12000	76.49	1.61
2	15000	76.16	1.66
2	18000	75.99	1.68
2	21000	75.83	1.73
2	24000	75.99	1.81
2	27000	75.83	1.77
2	30000	75.99	1.79
3	3000	76.99	2.08
3	6000	77.65	2.09
3	9000	76.32	2.11
3	12000	76.66	2.14
3	15000	75.99	2.15
3	18000	75.66	2.21
3	21000	75.99	2.23
3	24000	76.16	2.30
3	27000	75.99	2.25
3	30000	75.99	2.30
