ngramme	nfeatures	precision	test_time
1	3000	63.48	3.82
1	6000	63.20	4.21
1	9000	63.26	4.39
1	12000	62.93	4.44
1	15000	62.98	4.60
1	18000	62.98	4.59
1	21000	62.98	4.72
1	24000	62.98	4.54
1	27000	62.98	4.62
1	30000	62.98	4.94
2	3000	63.04	5.48
2	6000	63.70	5.49
2	9000	64.03	5.50
2	12000	63.76	5.61
2	15000	63.54	5.76
2	18000	63.48	5.72
2	21000	63.59	6.13
2	24000	63.70	5.85
2	27000	63.65	6.08
2	30000	63.70	6.02
3	3000	62.82	5.91
3	6000	63.54	6.19
3	9000	63.65	6.43
3	12000	63.54	6.53
3	15000	63.54	6.63
3	18000	63.48	6.65
3	21000	63.48	7.04
3	24000	63.15	7.06
3	27000	63.26	6.89
3	30000	63.31	7.31
