ngramme	nfeatures	precision	test_time
1	3000	76.32	1.27
1	6000	75.83	1.25
1	9000	76.32	1.37
1	12000	76.32	1.45
1	15000	75.99	1.42
1	18000	75.99	1.41
1	21000	75.99	1.42
1	24000	75.99	1.41
1	27000	75.99	1.41
1	30000	75.99	1.42
2	3000	77.15	2.20
2	6000	76.99	2.29
2	9000	77.15	2.40
2	12000	77.15	2.47
2	15000	76.82	2.58
2	18000	76.82	2.60
2	21000	76.66	2.67
2	24000	76.99	2.64
2	27000	77.48	2.69
2	30000	76.99	2.70
3	3000	75.99	3.42
3	6000	76.49	3.56
3	9000	76.99	3.69
3	12000	77.15	3.79
3	15000	76.49	3.77
3	18000	76.16	3.73
3	21000	75.83	3.86
3	24000	75.50	3.85
3	27000	75.66	3.85
3	30000	75.50	3.94
