ngramme	nfeatures	precision	test_time
1	3000	75.83	1.39
1	6000	75.83	1.55
1	9000	75.50	1.54
1	12000	75.33	1.58
1	15000	75.17	1.69
1	18000	75.17	1.73
1	21000	75.17	1.68
1	24000	75.17	1.66
1	27000	75.17	1.68
1	30000	75.17	1.66
2	3000	77.32	2.13
2	6000	77.98	2.35
2	9000	78.48	2.43
2	12000	78.31	2.58
2	15000	77.48	2.56
2	18000	77.81	2.64
2	21000	77.98	2.79
2	24000	78.31	2.79
2	27000	78.48	2.80
2	30000	79.14	2.95
3	3000	76.66	2.94
3	6000	77.65	3.13
3	9000	77.98	3.27
3	12000	78.64	3.55
3	15000	78.64	3.46
3	18000	78.64	3.60
3	21000	77.98	3.76
3	24000	78.31	3.77
3	27000	78.48	4.00
3	30000	78.64	3.90
