ngramme	nfeatures	precision	test_time
1	3000	62.54	3.87
1	6000	62.49	3.98
1	9000	62.38	4.30
1	12000	62.38	4.87
1	15000	62.38	4.67
1	18000	62.38	4.61
1	21000	62.38	4.56
1	24000	62.38	4.43
1	27000	62.38	4.50
1	30000	62.38	4.50
2	3000	62.15	4.52
2	6000	62.32	5.27
2	9000	62.32	6.02
2	12000	62.27	6.68
2	15000	62.27	6.68
2	18000	62.21	7.02
2	21000	62.27	7.40
2	24000	62.32	7.45
2	27000	62.43	7.85
2	30000	62.32	7.71
3	3000	62.10	5.07
3	6000	62.60	5.75
3	9000	62.15	7.21
3	12000	62.32	6.85
3	15000	62.21	7.92
3	18000	62.21	7.65
3	21000	62.49	7.81
3	24000	62.32	7.43
3	27000	62.27	7.93
3	30000	62.38	7.73
