ngramme	nfeatures	precision	test_time
1	3000	77.32	2.28
1	6000	76.99	2.47
1	9000	77.65	2.65
1	12000	77.81	2.72
1	15000	78.15	2.76
1	18000	78.15	3.33
1	21000	78.15	2.80
1	24000	78.15	2.80
1	27000	78.15	2.81
1	30000	78.15	2.82
2	3000	80.79	3.60
2	6000	81.13	4.31
2	9000	81.29	5.30
2	12000	80.63	5.57
2	15000	80.63	6.26
2	18000	81.29	6.47
2	21000	81.46	6.90
2	24000	81.62	6.79
2	27000	81.79	6.99
2	30000	81.79	7.29
3	3000	79.64	5.34
3	6000	79.97	5.90
3	9000	80.79	6.30
3	12000	79.97	7.44
3	15000	79.30	7.84
3	18000	79.30	8.06
3	21000	79.80	8.13
3	24000	80.30	8.12
3	27000	80.30	8.45
3	30000	80.13	8.65
