ngramme	nfeatures	precision	test_time
1	3000	77.15	2.48
1	6000	77.48	2.83
1	9000	77.65	2.78
1	12000	77.81	3.23
1	15000	77.81	3.25
1	18000	77.81	3.13
1	21000	77.81	3.19
1	24000	77.81	3.24
1	27000	77.81	3.12
1	30000	77.81	3.19
2	3000	79.97	4.26
2	6000	78.81	4.68
2	9000	79.97	4.78
2	12000	79.30	5.26
2	15000	79.80	5.80
2	18000	80.30	6.17
2	21000	80.46	6.62
2	24000	80.46	7.07
2	27000	80.46	7.03
2	30000	80.63	7.02
3	3000	79.97	5.70
3	6000	79.47	6.46
3	9000	79.80	7.21
3	12000	79.80	7.52
3	15000	79.14	7.46
3	18000	79.30	8.52
3	21000	78.81	8.37
3	24000	79.47	9.20
3	27000	79.64	9.35
3	30000	79.97	9.60
