ngramme	nfeatures	precision	test_time
1	3000	75.66	1.00
1	6000	75.99	1.01
1	9000	75.99	1.11
1	12000	75.99	1.05
1	15000	75.99	1.06
1	18000	75.99	1.06
1	21000	75.99	1.06
1	24000	75.99	1.12
1	27000	75.99	1.07
1	30000	75.99	1.04
2	3000	75.83	1.57
2	6000	75.17	1.62
2	9000	75.00	1.78
2	12000	74.67	1.91
2	15000	75.33	1.86
2	18000	75.33	1.78
2	21000	75.33	1.84
2	24000	75.33	1.97
2	27000	75.17	1.84
2	30000	75.33	1.83
3	3000	75.99	2.35
3	6000	75.66	2.19
3	9000	75.83	2.27
3	12000	75.17	2.44
3	15000	75.83	2.35
3	18000	75.99	2.46
3	21000	75.66	2.36
3	24000	75.66	2.34
3	27000	75.66	2.38
3	30000	75.83	2.36
