ngramme	nfeatures	precision	test_time
1	3000	61.82	1.06
1	6000	61.77	1.00
1	9000	62.27	0.99
1	12000	61.82	1.10
1	15000	61.82	1.04
1	18000	61.82	1.10
1	21000	61.82	1.08
1	24000	61.82	1.13
1	27000	61.82	1.00
1	30000	61.82	1.00
2	3000	60.28	1.82
2	6000	60.33	1.87
2	9000	60.88	1.86
2	12000	61.60	1.89
2	15000	61.38	1.89
2	18000	61.71	1.83
2	21000	61.60	1.85
2	24000	61.82	1.95
2	27000	61.66	1.83
2	30000	61.82	1.89
3	3000	59.61	2.65
3	6000	60.11	2.66
3	9000	60.50	2.65
3	12000	60.88	2.64
3	15000	61.16	2.65
3	18000	61.49	2.73
3	21000	61.16	2.64
3	24000	61.71	2.65
3	27000	61.88	2.75
3	30000	61.66	2.65
