ngramme	nfeatures	precision	test_time
1	3000	69.37	0.53
1	6000	67.22	0.56
1	9000	65.23	0.54
1	12000	64.40	0.58
1	15000	64.24	0.55
1	18000	64.24	0.56
1	21000	64.24	0.54
1	24000	64.24	0.55
1	27000	64.24	0.55
1	30000	64.24	0.54
2	3000	69.87	1.09
2	6000	68.21	1.10
2	9000	67.05	1.12
2	12000	66.89	1.11
2	15000	66.89	1.14
2	18000	66.23	1.15
2	21000	66.06	1.15
2	24000	66.23	1.14
2	27000	65.73	1.17
2	30000	65.40	1.17
3	3000	70.03	1.62
3	6000	68.05	1.75
3	9000	67.05	1.66
3	12000	66.72	1.77
3	15000	66.39	1.78
3	18000	65.73	1.77
3	21000	65.73	1.64
3	24000	65.40	1.80
3	27000	65.40	1.73
3	30000	65.40	1.72
