ngramme	nfeatures	precision	test_time
1	3000	72.52	0.55
1	6000	71.19	0.59
1	9000	71.69	0.63
1	12000	72.52	0.62
1	15000	72.85	0.57
1	18000	72.85	0.59
1	21000	72.85	0.56
1	24000	72.85	0.55
1	27000	72.85	0.53
1	30000	72.85	0.54
2	3000	72.35	1.10
2	6000	71.69	1.11
2	9000	72.85	1.12
2	12000	73.18	1.12
2	15000	73.01	1.12
2	18000	72.19	1.09
2	21000	72.35	1.09
2	24000	72.85	1.13
2	27000	72.52	1.24
2	30000	72.52	1.15
3	3000	72.02	1.65
3	6000	71.85	1.84
3	9000	71.85	1.65
3	12000	72.85	1.58
3	15000	72.68	1.57
3	18000	72.85	1.60
3	21000	72.35	1.59
3	24000	72.52	1.58
3	27000	72.19	1.58
3	30000	72.35	1.57
