ngramme	nfeatures	precision	test_time
1	3000	61.38	1.02
1	6000	61.33	1.05
1	9000	60.77	1.06
1	12000	60.83	1.03
1	15000	60.77	1.01
1	18000	60.77	1.01
1	21000	60.77	1.01
1	24000	60.77	1.02
1	27000	60.77	1.03
1	30000	60.77	1.02
2	3000	61.60	1.82
2	6000	62.38	1.82
2	9000	62.71	1.82
2	12000	62.65	1.83
2	15000	62.60	1.82
2	18000	62.65	1.83
2	21000	62.49	1.84
2	24000	62.60	1.83
2	27000	62.54	1.84
2	30000	62.49	1.86
3	3000	61.66	2.60
3	6000	62.27	2.60
3	9000	62.65	2.60
3	12000	62.76	2.68
3	15000	62.87	2.70
3	18000	62.98	2.63
3	21000	62.71	2.61
3	24000	63.04	2.73
3	27000	62.93	2.64
3	30000	62.98	2.61
