ngramme	nfeatures	precision	test_time
1	3000	69.70	0.56
1	6000	70.70	0.61
1	9000	71.52	0.63
1	12000	71.85	0.65
1	15000	71.85	0.68
1	18000	71.85	0.64
1	21000	71.85	0.65
1	24000	71.85	0.64
1	27000	71.85	0.63
1	30000	71.85	0.65
2	3000	70.03	1.16
2	6000	70.53	1.25
2	9000	71.19	1.31
2	12000	70.86	1.22
2	15000	70.70	1.24
2	18000	71.19	1.27
2	21000	71.19	1.28
2	24000	70.86	1.24
2	27000	70.86	1.20
2	30000	70.70	1.26
3	3000	69.87	1.81
3	6000	70.70	1.87
3	9000	71.03	1.86
3	12000	70.86	1.87
3	15000	70.53	1.83
3	18000	70.53	1.71
3	21000	70.53	1.79
3	24000	70.53	1.84
3	27000	70.36	1.70
3	30000	69.87	1.75
