ngramme	nfeatures	precision	test_time
1	3000	69.21	0.63
1	6000	66.06	0.64
1	9000	63.25	0.64
1	12000	62.58	0.60
1	15000	62.58	0.59
1	18000	62.58	0.64
1	21000	62.58	0.61
1	24000	62.58	0.59
1	27000	62.58	0.62
1	30000	62.58	0.74
2	3000	71.69	1.81
2	6000	72.02	1.60
2	9000	69.54	1.66
2	12000	70.20	1.65
2	15000	70.36	2.03
2	18000	69.21	1.60
2	21000	67.72	1.44
2	24000	67.55	1.50
2	27000	66.72	1.45
2	30000	66.06	1.52
3	3000	71.52	2.83
3	6000	71.85	2.80
3	9000	71.85	2.65
3	12000	70.53	2.58
3	15000	69.54	2.64
3	18000	69.54	2.67
3	21000	69.04	2.69
3	24000	69.04	2.63
3	27000	68.38	2.60
3	30000	67.88	2.61
