ngramme	nfeatures	precision	test_time
1	3000	73.18	0.58
1	6000	73.18	0.59
1	9000	72.85	0.59
1	12000	72.02	0.58
1	15000	72.68	0.61
1	18000	72.68	0.60
1	21000	72.68	0.58
1	24000	72.68	0.58
1	27000	72.68	0.58
1	30000	72.68	0.58
2	3000	72.68	1.42
2	6000	72.52	1.40
2	9000	73.18	1.40
2	12000	73.01	1.39
2	15000	72.85	1.42
2	18000	73.51	1.45
2	21000	72.68	1.40
2	24000	73.18	1.38
2	27000	72.85	1.35
2	30000	72.68	1.39
3	3000	72.52	2.52
3	6000	72.85	2.54
3	9000	71.69	2.60
3	12000	72.02	2.58
3	15000	71.69	2.61
3	18000	72.02	2.58
3	21000	72.35	2.66
3	24000	72.19	2.60
3	27000	72.19	2.63
3	30000	72.02	2.61
