ngramme	nfeatures	precision	test_time
1	3000	68.21	0.57
1	6000	66.06	0.58
1	9000	64.24	0.57
1	12000	63.25	0.58
1	15000	63.08	0.57
1	18000	63.08	0.58
1	21000	63.08	0.59
1	24000	63.08	0.58
1	27000	63.08	0.58
1	30000	63.08	0.57
2	3000	71.36	1.42
2	6000	71.19	1.43
2	9000	69.87	1.43
2	12000	69.87	1.43
2	15000	69.37	1.43
2	18000	68.21	1.44
2	21000	68.87	1.44
2	24000	67.55	1.47
2	27000	66.39	1.45
2	30000	66.06	1.46
3	3000	71.19	2.65
3	6000	71.52	2.69
3	9000	71.36	2.66
3	12000	70.36	2.66
3	15000	69.54	2.69
3	18000	69.70	2.71
3	21000	69.21	2.72
3	24000	68.54	2.67
3	27000	67.72	2.69
3	30000	67.72	2.71
