ngramme	nfeatures	precision	test_time
1	3000	69.54	0.59
1	6000	67.72	0.54
1	9000	66.06	0.55
1	12000	65.40	0.54
1	15000	65.23	0.56
1	18000	65.23	0.57
1	21000	65.23	0.63
1	24000	65.23	0.54
1	27000	65.23	0.54
1	30000	65.23	0.57
2	3000	70.03	1.04
2	6000	68.71	1.08
2	9000	66.56	1.05
2	12000	65.73	1.04
2	15000	66.23	1.16
2	18000	66.23	1.11
2	21000	66.56	1.09
2	24000	65.73	1.09
2	27000	65.73	1.07
2	30000	65.89	1.09
3	3000	70.03	1.57
3	6000	68.38	1.51
3	9000	67.22	1.56
3	12000	65.56	1.61
3	15000	65.23	1.56
3	18000	65.89	1.56
3	21000	65.56	1.52
3	24000	65.07	1.51
3	27000	65.40	1.51
3	30000	65.07	1.50
