ngramme	nfeatures	precision	test_time
1	3000	62.76	3.54
1	6000	62.54	3.77
1	9000	62.76	4.03
1	12000	62.87	4.20
1	15000	62.87	4.06
1	18000	62.87	4.11
1	21000	62.87	4.13
1	24000	62.87	4.11
1	27000	62.87	4.18
1	30000	62.87	4.42
2	3000	62.60	4.58
2	6000	63.59	4.68
2	9000	63.54	5.12
2	12000	63.70	5.52
2	15000	63.70	5.77
2	18000	63.59	5.64
2	21000	63.59	5.82
2	24000	63.54	5.80
2	27000	63.65	5.94
2	30000	63.65	5.79
3	3000	62.71	5.84
3	6000	63.15	5.90
3	9000	63.31	6.60
3	12000	63.54	6.96
3	15000	63.15	6.56
3	18000	63.26	6.76
3	21000	63.09	6.47
3	24000	63.09	6.71
3	27000	63.43	7.09
3	30000	63.20	7.21
