ngramme	nfeatures	precision	test_time
1	3000	63.48	4.11
1	6000	63.20	4.14
1	9000	63.26	4.57
1	12000	62.93	4.59
1	15000	62.98	4.68
1	18000	62.98	4.58
1	21000	62.98	4.53
1	24000	62.98	4.64
1	27000	62.98	4.67
1	30000	62.98	4.86
2	3000	63.04	4.80
2	6000	63.70	5.29
2	9000	64.03	5.88
2	12000	63.76	5.71
2	15000	63.54	5.87
2	18000	63.48	5.58
2	21000	63.59	5.83
2	24000	63.70	6.04
2	27000	63.65	5.94
2	30000	63.70	5.96
3	3000	62.82	5.79
3	6000	63.54	6.15
3	9000	63.65	6.44
3	12000	63.54	6.74
3	15000	63.54	6.74
3	18000	63.48	6.77
3	21000	63.48	7.02
3	24000	63.15	7.11
3	27000	63.26	6.97
3	30000	63.31	7.28
