ngramme	nfeatures	precision	test_time
1	3000	62.49	2.80
1	6000	62.43	3.04
1	9000	62.38	3.32
1	12000	62.49	3.28
1	15000	62.43	3.27
1	18000	62.43	3.38
1	21000	62.43	3.38
1	24000	62.43	3.49
1	27000	62.43	3.33
1	30000	62.43	3.32
2	3000	62.10	3.71
2	6000	62.32	3.48
2	9000	62.15	3.61
2	12000	62.15	3.93
2	15000	62.21	4.11
2	18000	62.04	4.16
2	21000	62.10	4.41
2	24000	61.99	4.20
2	27000	61.99	4.48
2	30000	61.93	4.40
3	3000	62.15	3.83
3	6000	62.15	3.80
3	9000	62.21	3.79
3	12000	62.27	4.63
3	15000	62.38	4.46
3	18000	62.32	4.65
3	21000	62.21	4.23
3	24000	62.21	4.14
3	27000	62.10	4.50
3	30000	62.32	4.35
