ngramme	nfeatures	precision	test_time
1	3000	62.60	3.20
1	6000	62.49	3.33
1	9000	62.54	3.49
1	12000	62.49	3.70
1	15000	62.49	3.50
1	18000	62.49	3.47
1	21000	62.49	3.70
1	24000	62.49	3.77
1	27000	62.49	3.72
1	30000	62.49	3.47
2	3000	62.49	3.71
2	6000	62.49	3.78
2	9000	62.54	3.85
2	12000	62.54	4.20
2	15000	62.54	4.25
2	18000	62.60	4.21
2	21000	62.49	4.39
2	24000	62.38	4.35
2	27000	62.38	4.25
2	30000	62.32	4.43
3	3000	62.49	3.87
3	6000	62.60	4.05
3	9000	62.65	4.36
3	12000	62.60	4.42
3	15000	62.71	4.44
3	18000	62.60	4.49
3	21000	62.60	4.85
3	24000	62.60	4.67
3	27000	62.54	4.49
3	30000	62.54	4.84
