ngramme	nfeatures	precision	test_time
1	3000	63.37	6.07
1	6000	63.20	6.81
1	9000	63.31	7.31
1	12000	63.26	7.46
1	15000	63.37	7.96
1	18000	63.37	7.84
1	21000	63.37	7.74
1	24000	63.37	8.33
1	27000	63.37	7.72
1	30000	63.37	7.73
2	3000	63.31	7.43
2	6000	62.65	9.01
2	9000	62.87	9.47
2	12000	62.93	10.70
2	15000	63.15	11.74
2	18000	63.15	11.82
2	21000	63.48	12.05
2	24000	63.59	12.29
2	27000	63.48	13.16
2	30000	63.70	13.22
3	3000	63.59	8.66
3	6000	62.82	12.18
3	9000	62.87	11.86
3	12000	63.09	13.66
3	15000	63.15	15.42
3	18000	63.70	14.55
3	21000	63.48	16.59
3	24000	63.26	15.79
3	27000	62.98	17.30
3	30000	63.31	17.21
