ngramme	nfeatures	precision	test_time
1	3000	63.26	5.71
1	6000	63.26	6.65
1	9000	63.20	7.10
1	12000	63.15	7.53
1	15000	62.98	7.59
1	18000	62.98	7.60
1	21000	62.98	7.54
1	24000	62.98	7.56
1	27000	62.98	7.48
1	30000	62.98	7.44
2	3000	63.65	7.42
2	6000	63.48	9.01
2	9000	64.14	10.48
2	12000	64.03	11.18
2	15000	64.36	12.04
2	18000	64.03	12.77
2	21000	63.87	12.01
2	24000	63.92	15.21
2	27000	64.14	13.31
2	30000	64.03	13.26
3	3000	63.54	8.45
3	6000	63.37	9.84
3	9000	63.54	11.28
3	12000	63.48	12.45
3	15000	63.81	13.22
3	18000	63.31	14.25
3	21000	63.48	13.86
3	24000	63.31	15.28
3	27000	63.48	15.11
3	30000	63.37	15.79
