ngramme	nfeatures	precision	test_time
1	3000	62.49	3.62
1	6000	62.15	4.01
1	9000	62.15	4.18
1	12000	62.15	4.33
1	15000	62.32	4.30
1	18000	62.32	4.41
1	21000	62.32	4.37
1	24000	62.32	4.38
1	27000	62.32	4.42
1	30000	62.32	4.39
2	3000	62.27	4.13
2	6000	62.49	4.88
2	9000	62.49	5.36
2	12000	62.98	5.38
2	15000	63.04	5.70
2	18000	63.04	6.15
2	21000	62.98	6.24
2	24000	62.93	6.77
2	27000	62.87	6.77
2	30000	62.82	7.52
3	3000	62.21	5.01
3	6000	62.65	5.20
3	9000	62.54	5.60
3	12000	62.71	6.14
3	15000	62.76	6.46
3	18000	62.76	6.54
3	21000	62.65	6.53
3	24000	62.87	7.13
3	27000	62.71	7.60
3	30000	62.60	7.28
