ngramme	nfeatures	precision	test_time
1	3000	62.54	3.81
1	6000	62.49	4.03
1	9000	62.38	4.03
1	12000	62.38	4.63
1	15000	62.38	4.44
1	18000	62.38	4.47
1	21000	62.38	4.49
1	24000	62.38	4.52
1	27000	62.38	4.49
1	30000	62.38	4.53
2	3000	62.15	4.62
2	6000	62.32	5.15
2	9000	62.32	5.81
2	12000	62.27	6.80
2	15000	62.27	6.76
2	18000	62.21	6.86
2	21000	62.27	6.93
2	24000	62.32	7.18
2	27000	62.43	7.42
2	30000	62.32	7.14
3	3000	62.10	5.19
3	6000	62.60	5.92
3	9000	62.15	6.55
3	12000	62.32	6.51
3	15000	62.21	7.20
3	18000	62.21	7.68
3	21000	62.49	7.82
3	24000	62.32	7.59
3	27000	62.27	7.96
3	30000	62.38	8.01
