ngramme	nfeatures	precision	test_time
1	3000	62.76	3.37
1	6000	62.71	3.38
1	9000	62.87	3.18
1	12000	62.87	3.23
1	15000	62.76	3.61
1	18000	62.76	3.66
1	21000	62.76	3.42
1	24000	62.76	3.52
1	27000	62.76	3.42
1	30000	62.76	3.47
2	3000	62.32	3.40
2	6000	62.54	3.73
2	9000	62.38	3.81
2	12000	62.43	4.16
2	15000	62.54	4.08
2	18000	62.49	4.20
2	21000	62.49	4.47
2	24000	62.38	4.20
2	27000	62.38	4.40
2	30000	62.49	4.29
3	3000	62.38	3.59
3	6000	62.60	4.01
3	9000	62.54	3.84
3	12000	62.49	4.15
3	15000	62.54	4.40
3	18000	62.38	4.32
3	21000	62.49	4.63
3	24000	62.60	4.62
3	27000	62.60	5.10
3	30000	62.54	4.85
