ngramme	nfeatures	precision	test_time
1	3000	62.93	6.53
1	6000	63.15	6.98
1	9000	63.20	7.37
1	12000	63.20	8.24
1	15000	63.20	8.29
1	18000	63.20	8.15
1	21000	63.20	8.14
1	24000	63.20	8.33
1	27000	63.20	8.06
1	30000	63.20	8.28
2	3000	63.26	7.64
2	6000	63.59	9.22
2	9000	63.81	11.14
2	12000	64.14	12.17
2	15000	64.36	12.43
2	18000	64.09	12.60
2	21000	63.76	14.30
2	24000	63.65	13.86
2	27000	63.87	14.58
2	30000	63.70	14.50
3	3000	63.20	8.80
3	6000	63.26	10.30
3	9000	63.65	11.69
3	12000	63.37	12.46
3	15000	63.70	14.49
3	18000	62.98	16.14
3	21000	62.98	15.61
3	24000	63.15	17.24
3	27000	63.26	17.21
3	30000	63.09	15.40
