ngramme	nfeatures	precision	test_time
1	3000	61.93	3.27
1	6000	62.04	3.74
1	9000	62.04	3.99
1	12000	61.93	3.97
1	15000	61.93	4.05
1	18000	61.93	3.99
1	21000	61.93	4.07
1	24000	61.93	4.13
1	27000	61.93	4.08
1	30000	61.93	3.94
2	3000	62.49	3.89
2	6000	62.43	4.69
2	9000	62.54	4.86
2	12000	62.43	5.61
2	15000	62.54	5.88
2	18000	62.54	5.84
2	21000	62.54	6.42
2	24000	62.71	6.30
2	27000	62.65	6.66
2	30000	62.65	6.51
3	3000	62.43	4.56
3	6000	62.32	5.03
3	9000	62.38	5.31
3	12000	62.10	6.20
3	15000	62.38	6.04
3	18000	62.32	6.45
3	21000	62.43	6.43
3	24000	62.43	6.63
3	27000	62.49	6.86
3	30000	62.60	7.47
