ngramme	nfeatures	precision	test_time
1	3000	62.54	3.35
1	6000	62.43	3.99
1	9000	62.60	4.18
1	12000	62.54	4.63
1	15000	62.60	4.49
1	18000	62.60	4.42
1	21000	62.60	4.23
1	24000	62.60	4.32
1	27000	62.60	4.26
1	30000	62.60	4.32
2	3000	62.15	4.83
2	6000	62.82	5.16
2	9000	62.82	5.49
2	12000	63.09	6.20
2	15000	62.93	5.85
2	18000	62.87	6.41
2	21000	63.04	6.63
2	24000	62.87	6.42
2	27000	62.87	5.98
2	30000	62.82	7.04
3	3000	62.21	4.79
3	6000	62.82	5.27
3	9000	62.71	6.17
3	12000	62.87	6.24
3	15000	62.82	6.05
3	18000	62.76	6.88
3	21000	62.82	7.81
3	24000	62.87	7.57
3	27000	63.04	7.83
3	30000	63.04	8.15
