ngramme	nfeatures	precision	test_time
1	3000	63.65	6.00
1	6000	63.70	7.40
1	9000	63.65	7.34
1	12000	63.48	8.05
1	15000	63.48	8.09
1	18000	63.48	7.89
1	21000	63.48	7.66
1	24000	63.48	7.71
1	27000	63.48	7.91
1	30000	63.48	8.07
2	3000	63.87	7.48
2	6000	63.31	8.32
2	9000	63.43	10.67
2	12000	63.70	10.81
2	15000	63.59	11.92
2	18000	63.59	12.08
2	21000	63.54	12.99
2	24000	63.37	12.81
2	27000	63.43	13.01
2	30000	63.59	13.25
3	3000	63.59	9.22
3	6000	63.09	11.19
3	9000	63.20	12.63
3	12000	62.93	13.37
3	15000	63.48	13.87
3	18000	63.43	14.66
3	21000	63.31	15.52
3	24000	63.37	16.69
3	27000	63.09	16.19
3	30000	63.37	16.49
