ngramme	nfeatures	precision	test_time
1	3000	63.81	4.01
1	6000	63.76	3.81
1	9000	63.81	4.12
1	12000	63.65	4.38
1	15000	63.54	4.44
1	18000	63.54	4.59
1	21000	63.54	4.49
1	24000	63.54	4.59
1	27000	63.54	4.83
1	30000	63.54	4.66
2	3000	63.37	4.98
2	6000	63.59	5.53
2	9000	63.43	5.56
2	12000	63.04	5.97
2	15000	63.09	6.06
2	18000	63.31	6.07
2	21000	62.82	6.14
2	24000	62.71	6.10
2	27000	62.76	5.94
2	30000	62.60	6.29
3	3000	63.26	5.46
3	6000	63.70	6.29
3	9000	63.81	6.35
3	12000	63.59	6.35
3	15000	63.37	6.45
3	18000	63.37	6.85
3	21000	63.26	7.06
3	24000	63.09	7.49
3	27000	63.26	7.11
3	30000	63.48	7.32
