ngramme	nfeatures	precision	test_time
1	3000	62.10	3.17
1	6000	62.15	3.25
1	9000	62.27	3.35
1	12000	62.32	3.35
1	15000	62.32	3.60
1	18000	62.32	3.40
1	21000	62.32	3.27
1	24000	62.32	3.20
1	27000	62.32	3.21
1	30000	62.32	3.20
2	3000	62.32	3.23
2	6000	62.27	3.52
2	9000	62.43	3.82
2	12000	62.60	4.09
2	15000	62.49	4.09
2	18000	62.49	4.19
2	21000	62.49	4.14
2	24000	62.38	4.69
2	27000	62.38	4.53
2	30000	62.32	4.36
3	3000	62.21	3.54
3	6000	62.38	3.83
3	9000	62.43	4.20
3	12000	62.32	4.19
3	15000	62.38	4.12
3	18000	62.27	4.26
3	21000	62.43	4.59
3	24000	62.43	5.06
3	27000	62.38	4.80
3	30000	62.32	4.75
