ngramme	nfeatures	precision	test_time
1	3000	63.15	5.92
1	6000	63.09	7.74
1	9000	63.26	6.90
1	12000	63.31	7.25
1	15000	63.31	6.96
1	18000	63.31	7.26
1	21000	63.31	7.33
1	24000	63.31	7.85
1	27000	63.31	7.36
1	30000	63.31	7.48
2	3000	63.09	7.37
2	6000	62.98	9.10
2	9000	63.31	9.97
2	12000	63.70	12.21
2	15000	63.15	12.24
2	18000	63.37	12.94
2	21000	63.54	13.17
2	24000	63.81	13.20
2	27000	63.54	12.75
2	30000	63.76	13.22
3	3000	63.15	8.30
3	6000	62.71	10.70
3	9000	63.20	10.44
3	12000	63.43	12.40
3	15000	63.26	12.78
3	18000	62.98	13.70
3	21000	63.09	13.69
3	24000	63.04	14.86
3	27000	63.09	14.42
3	30000	63.31	15.08
