ngramme	nfeatures	precision	test_time
1	3000	62.54	3.28
1	6000	62.60	3.66
1	9000	62.49	3.77
1	12000	62.49	4.08
1	15000	62.49	4.12
1	18000	62.49	4.04
1	21000	62.49	3.97
1	24000	62.49	3.97
1	27000	62.49	4.08
1	30000	62.49	4.00
2	3000	62.38	4.50
2	6000	62.65	5.23
2	9000	62.49	5.53
2	12000	62.71	5.97
2	15000	62.65	6.45
2	18000	62.82	6.20
2	21000	62.93	6.51
2	24000	62.87	6.73
2	27000	62.87	6.58
2	30000	62.87	6.97
3	3000	62.49	4.89
3	6000	62.76	5.71
3	9000	62.65	5.62
3	12000	62.82	5.96
3	15000	62.65	6.43
3	18000	62.65	7.89
3	21000	62.76	7.52
3	24000	62.71	7.86
3	27000	62.71	7.60
3	30000	62.71	7.74
