ngramme	nfeatures	precision	test_time
1	3000	63.09	3.71
1	6000	63.20	3.87
1	9000	63.04	4.10
1	12000	62.98	4.32
1	15000	62.93	4.22
1	18000	62.93	4.10
1	21000	62.93	4.11
1	24000	62.93	4.15
1	27000	62.93	4.19
1	30000	62.93	4.19
2	3000	62.38	4.86
2	6000	63.48	4.95
2	9000	63.70	5.16
2	12000	63.26	5.75
2	15000	63.37	5.77
2	18000	63.43	5.81
2	21000	63.65	5.58
2	24000	63.26	5.71
2	27000	63.37	5.92
2	30000	63.37	5.83
3	3000	62.43	5.47
3	6000	63.70	5.72
3	9000	64.09	6.07
3	12000	63.92	6.29
3	15000	63.65	6.44
3	18000	63.76	6.60
3	21000	63.76	6.69
3	24000	63.92	6.71
3	27000	63.70	7.15
3	30000	63.98	7.06
