ngramme	nfeatures	precision	test_time
1	3000	63.37	6.45
1	6000	63.48	7.17
1	9000	63.54	7.89
1	12000	63.59	8.60
1	15000	63.54	7.76
1	18000	63.54	7.70
1	21000	63.54	7.53
1	24000	63.54	7.92
1	27000	63.54	8.04
1	30000	63.54	8.31
2	3000	63.09	7.89
2	6000	62.93	9.05
2	9000	63.54	10.49
2	12000	63.37	11.20
2	15000	63.26	12.16
2	18000	62.93	12.28
2	21000	62.93	13.06
2	24000	63.04	12.82
2	27000	63.15	13.98
2	30000	63.20	13.33
3	3000	63.65	8.88
3	6000	63.37	10.25
3	9000	63.09	12.86
3	12000	63.26	16.07
3	15000	64.31	15.68
3	18000	64.03	15.83
3	21000	63.70	14.91
3	24000	63.59	15.34
3	27000	63.76	16.45
3	30000	64.14	16.79
