ngramme	nfeatures	precision	test_time
1	3000	62.10	2.71
1	6000	62.10	2.91
1	9000	62.15	3.17
1	12000	62.32	3.45
1	15000	62.32	3.39
1	18000	62.32	3.27
1	21000	62.32	3.15
1	24000	62.32	3.15
1	27000	62.32	3.30
1	30000	62.32	3.22
2	3000	62.04	3.40
2	6000	61.93	3.71
2	9000	61.88	3.67
2	12000	62.38	3.73
2	15000	62.38	3.89
2	18000	62.21	4.03
2	21000	62.21	3.87
2	24000	62.21	4.14
2	27000	62.21	4.32
2	30000	62.21	4.17
3	3000	61.99	3.39
3	6000	62.04	3.63
3	9000	62.04	3.87
3	12000	61.99	4.10
3	15000	62.43	4.54
3	18000	62.32	4.26
3	21000	62.21	4.26
3	24000	62.21	4.41
3	27000	62.32	4.23
3	30000	62.32	4.47
