ngramme	nfeatures	precision	test_time
1	3000	62.71	2.91
1	6000	62.60	2.98
1	9000	62.87	3.04
1	12000	62.65	3.30
1	15000	62.60	3.27
1	18000	62.60	3.27
1	21000	62.60	3.40
1	24000	62.60	3.49
1	27000	62.60	3.35
1	30000	62.60	3.18
2	3000	62.43	3.29
2	6000	62.76	3.56
2	9000	62.65	3.65
2	12000	62.82	3.79
2	15000	62.71	4.05
2	18000	62.82	4.14
2	21000	62.82	3.98
2	24000	62.93	3.94
2	27000	62.82	4.03
2	30000	62.82	4.27
3	3000	62.43	3.46
3	6000	62.76	3.72
3	9000	62.54	3.80
3	12000	62.65	3.90
3	15000	62.54	4.01
3	18000	62.76	4.13
3	21000	62.65	4.22
3	24000	62.71	4.29
3	27000	62.71	4.23
3	30000	62.71	4.32
