ngramme	nfeatures	precision	test_time
1	3000	63.31	3.99
1	6000	63.04	3.75
1	9000	62.71	3.92
1	12000	62.65	4.01
1	15000	62.65	4.03
1	18000	62.65	4.00
1	21000	62.65	4.12
1	24000	62.65	4.24
1	27000	62.65	4.05
1	30000	62.65	4.12
2	3000	62.98	4.55
2	6000	63.43	4.80
2	9000	63.81	5.09
2	12000	63.37	5.83
2	15000	63.09	5.61
2	18000	63.26	5.67
2	21000	63.31	5.69
2	24000	63.15	5.71
2	27000	62.76	6.29
2	30000	62.87	6.11
3	3000	62.87	5.50
3	6000	63.43	5.60
3	9000	63.48	6.05
3	12000	63.65	6.20
3	15000	63.54	6.51
3	18000	63.37	6.33
3	21000	63.48	6.37
3	24000	63.54	6.81
3	27000	63.37	6.87
3	30000	63.26	6.98
