ngramme	nfeatures	precision	test_time
1	3000	72.52	0.59
1	6000	72.35	0.54
1	9000	72.19	0.54
1	12000	72.35	0.55
1	15000	72.35	0.56
1	18000	72.35	0.55
1	21000	72.35	0.54
1	24000	72.35	0.55
1	27000	72.35	0.56
1	30000	72.35	0.56
2	3000	74.01	1.38
2	6000	74.67	1.34
2	9000	73.34	1.35
2	12000	73.18	1.35
2	15000	73.68	1.36
2	18000	73.01	1.41
2	21000	72.68	1.36
2	24000	72.02	1.36
2	27000	71.85	1.37
2	30000	72.02	1.37
3	3000	72.68	2.55
3	6000	73.34	2.59
3	9000	72.68	2.54
3	12000	72.68	2.56
3	15000	71.52	2.54
3	18000	71.69	2.54
3	21000	72.02	2.58
3	24000	72.02	2.71
3	27000	72.35	2.55
3	30000	71.85	2.61
