ngramme	nfeatures	precision	test_time
1	3000	68.71	0.64
1	6000	66.39	0.63
1	9000	63.74	0.62
1	12000	63.08	0.60
1	15000	63.08	0.63
1	18000	63.08	0.63
1	21000	63.08	0.58
1	24000	63.08	0.63
1	27000	63.08	0.63
1	30000	63.08	0.63
2	3000	71.85	1.48
2	6000	71.85	1.49
2	9000	70.70	1.48
2	12000	70.70	1.38
2	15000	70.36	1.51
2	18000	69.04	1.50
2	21000	69.04	1.48
2	24000	67.88	1.49
2	27000	66.56	1.52
2	30000	65.89	1.51
3	3000	71.69	2.78
3	6000	71.69	2.76
3	9000	70.86	2.76
3	12000	70.53	2.71
3	15000	70.20	2.59
3	18000	69.87	2.59
3	21000	69.87	2.58
3	24000	69.04	2.73
3	27000	68.87	2.66
3	30000	68.05	2.63
