ngramme	nfeatures	precision	test_time
1	3000	69.54	0.61
1	6000	67.22	0.57
1	9000	66.23	0.57
1	12000	65.23	0.53
1	15000	64.74	0.57
1	18000	64.74	0.57
1	21000	64.74	0.57
1	24000	64.74	0.61
1	27000	64.74	0.60
1	30000	64.74	0.60
2	3000	70.70	1.15
2	6000	69.21	1.06
2	9000	67.05	1.03
2	12000	68.05	1.05
2	15000	67.05	1.04
2	18000	66.39	1.04
2	21000	66.06	1.04
2	24000	66.06	1.04
2	27000	65.56	1.05
2	30000	65.40	1.05
3	3000	71.19	1.54
3	6000	68.71	1.58
3	9000	68.05	1.56
3	12000	67.88	1.54
3	15000	67.22	1.57
3	18000	65.73	1.57
3	21000	65.73	1.55
3	24000	65.56	1.58
3	27000	65.07	1.57
3	30000	64.90	1.56
