ngramme	nfeatures	precision	test_time
1	3000	72.35	0.60
1	6000	72.02	0.57
1	9000	72.68	0.58
1	12000	73.68	0.58
1	15000	73.51	0.59
1	18000	73.51	0.59
1	21000	73.51	0.59
1	24000	73.51	0.60
1	27000	73.51	0.57
1	30000	73.51	0.59
2	3000	72.68	1.44
2	6000	74.17	1.46
2	9000	73.34	1.46
2	12000	72.85	1.44
2	15000	72.52	1.45
2	18000	72.52	1.53
2	21000	72.85	1.40
2	24000	71.85	1.43
2	27000	71.52	1.41
2	30000	71.85	1.40
3	3000	72.85	2.68
3	6000	72.19	2.66
3	9000	72.85	2.67
3	12000	72.52	2.65
3	15000	72.02	2.65
3	18000	71.69	2.67
3	21000	72.35	2.71
3	24000	72.19	2.88
3	27000	71.69	2.76
3	30000	71.69	2.70
