ngramme	nfeatures	precision	test_time
1	3000	69.54	0.61
1	6000	65.73	0.60
1	9000	64.74	0.60
1	12000	64.24	0.60
1	15000	64.24	0.59
1	18000	64.24	0.59
1	21000	64.24	0.59
1	24000	64.24	0.59
1	27000	64.24	0.60
1	30000	64.24	0.60
2	3000	69.70	1.22
2	6000	67.38	1.12
2	9000	67.88	1.09
2	12000	66.72	1.13
2	15000	66.89	1.11
2	18000	66.56	1.18
2	21000	66.56	1.17
2	24000	66.39	1.09
2	27000	65.40	1.11
2	30000	64.90	1.15
3	3000	70.03	1.68
3	6000	67.55	1.75
3	9000	67.55	1.66
3	12000	67.05	1.68
3	15000	66.89	1.69
3	18000	66.06	1.72
3	21000	65.73	1.68
3	24000	65.40	1.70
3	27000	65.23	1.70
3	30000	64.90	1.69
