ngramme	nfeatures	precision	test_time
1	3000	71.36	0.56
1	6000	72.52	0.55
1	9000	72.52	0.55
1	12000	72.85	0.54
1	15000	72.52	0.54
1	18000	72.52	0.54
1	21000	72.52	0.54
1	24000	72.52	0.54
1	27000	72.52	0.54
1	30000	72.52	0.54
2	3000	72.19	1.09
2	6000	73.01	1.11
2	9000	72.68	1.08
2	12000	72.68	1.09
2	15000	73.01	1.06
2	18000	72.52	1.11
2	21000	72.68	1.10
2	24000	72.35	1.19
2	27000	72.35	1.17
2	30000	72.35	1.17
3	3000	71.69	1.70
3	6000	72.52	1.70
3	9000	72.52	1.67
3	12000	72.68	1.68
3	15000	72.35	1.68
3	18000	72.68	1.65
3	21000	72.68	1.62
3	24000	72.19	1.65
3	27000	72.19	1.67
3	30000	72.19	1.64
