ngramme	nfeatures	precision	test_time
1	3000	61.38	1.01
1	6000	61.33	1.01
1	9000	60.77	1.01
1	12000	60.83	1.02
1	15000	60.77	1.01
1	18000	60.77	1.12
1	21000	60.77	1.17
1	24000	60.77	1.06
1	27000	60.77	1.02
1	30000	60.77	1.01
2	3000	61.60	1.80
2	6000	62.38	1.84
2	9000	62.71	1.94
2	12000	62.65	1.88
2	15000	62.60	1.91
2	18000	62.65	1.91
2	21000	62.49	1.87
2	24000	62.60	1.82
2	27000	62.54	1.84
2	30000	62.49	1.84
3	3000	61.66	2.59
3	6000	62.27	2.60
3	9000	62.65	2.59
3	12000	62.76	2.60
3	15000	62.87	2.59
3	18000	62.98	2.71
3	21000	62.71	2.64
3	24000	63.04	2.88
3	27000	62.93	2.64
3	30000	62.98	2.64
