ngramme	nfeatures	precision	test_time
1	3000	61.66	1.16
1	6000	61.38	1.23
1	9000	61.22	1.15
1	12000	60.99	1.16
1	15000	60.83	1.06
1	18000	60.83	1.12
1	21000	60.83	1.12
1	24000	60.83	1.08
1	27000	60.83	1.10
1	30000	60.83	1.06
2	3000	61.77	1.57
2	6000	62.32	1.66
2	9000	61.49	1.65
2	12000	61.38	1.56
2	15000	61.71	1.64
2	18000	61.16	1.73
2	21000	60.77	1.62
2	24000	60.88	1.62
2	27000	60.66	1.60
2	30000	60.72	1.64
3	3000	61.77	1.72
3	6000	62.32	1.71
3	9000	61.44	1.88
3	12000	61.44	1.90
3	15000	61.33	1.77
3	18000	61.10	1.70
3	21000	60.77	1.74
3	24000	60.83	1.87
3	27000	60.61	1.74
3	30000	60.61	1.73
