ngramme	nfeatures	precision	test_time
1	3000	62.32	1.03
1	6000	61.38	1.10
1	9000	61.44	1.08
1	12000	61.27	1.12
1	15000	61.38	1.01
1	18000	61.38	1.03
1	21000	61.38	1.05
1	24000	61.38	1.03
1	27000	61.38	1.04
1	30000	61.38	1.01
2	3000	61.60	1.56
2	6000	62.10	1.68
2	9000	61.93	1.63
2	12000	61.82	1.63
2	15000	61.88	1.58
2	18000	61.88	1.58
2	21000	61.88	1.55
2	24000	61.93	1.65
2	27000	62.04	1.56
2	30000	62.04	1.51
3	3000	61.60	1.69
3	6000	62.04	1.69
3	9000	62.04	1.76
3	12000	62.10	1.70
3	15000	61.88	1.70
3	18000	61.82	1.72
3	21000	61.88	1.79
3	24000	62.21	1.86
3	27000	62.15	1.76
3	30000	62.27	1.87
