ngramme	nfeatures	precision	test_time
1	3000	61.44	1.08
1	6000	61.44	0.99
1	9000	61.88	1.02
1	12000	62.15	1.01
1	15000	62.04	1.01
1	18000	62.04	1.01
1	21000	62.04	1.01
1	24000	62.04	1.00
1	27000	62.04	1.20
1	30000	62.04	1.10
2	3000	60.50	2.07
2	6000	60.33	2.18
2	9000	60.66	1.86
2	12000	61.10	2.07
2	15000	60.99	2.19
2	18000	60.83	2.47
2	21000	61.10	2.26
2	24000	61.60	2.13
2	27000	61.93	1.91
2	30000	61.82	1.85
3	3000	59.94	2.64
3	6000	60.11	2.77
3	9000	60.11	2.71
3	12000	60.44	2.77
3	15000	60.72	2.88
3	18000	61.27	2.79
3	21000	61.10	2.75
3	24000	61.22	2.75
3	27000	61.55	2.99
3	30000	61.33	2.76
