ngramme	nfeatures	precision	test_time
1	3000	62.10	1.06
1	6000	61.60	1.11
1	9000	61.55	1.08
1	12000	61.44	1.07
1	15000	61.44	1.07
1	18000	61.44	1.07
1	21000	61.44	1.12
1	24000	61.44	1.13
1	27000	61.44	1.13
1	30000	61.44	1.12
2	3000	61.55	1.51
2	6000	61.82	1.45
2	9000	61.49	1.46
2	12000	61.71	1.55
2	15000	61.60	1.46
2	18000	61.66	1.51
2	21000	61.88	1.49
2	24000	62.15	1.46
2	27000	62.38	1.46
2	30000	62.49	1.46
3	3000	61.49	1.67
3	6000	61.82	1.67
3	9000	61.44	1.70
3	12000	61.77	1.65
3	15000	61.55	1.65
3	18000	61.77	1.67
3	21000	61.88	1.74
3	24000	62.27	1.73
3	27000	62.38	1.73
3	30000	62.43	1.74
