ngramme	nfeatures	precision	test_time
1	3000	61.38	1.02
1	6000	61.22	1.03
1	9000	61.05	1.03
1	12000	60.83	1.05
1	15000	60.77	1.02
1	18000	60.77	1.02
1	21000	60.77	1.04
1	24000	60.77	1.03
1	27000	60.77	1.03
1	30000	60.77	1.04
2	3000	61.93	1.49
2	6000	61.71	1.51
2	9000	61.55	1.49
2	12000	61.33	1.49
2	15000	61.05	1.49
2	18000	60.88	1.50
2	21000	60.88	1.49
2	24000	60.83	1.50
2	27000	60.94	1.56
2	30000	60.77	1.51
3	3000	62.04	1.68
3	6000	61.66	1.73
3	9000	61.33	1.71
3	12000	61.10	1.67
3	15000	61.10	1.68
3	18000	61.10	1.76
3	21000	60.83	1.79
3	24000	60.83	1.78
3	27000	60.61	1.79
3	30000	60.72	1.78
