ngramme	nfeatures	precision	test_time
1	3000	61.82	1.05
1	6000	61.33	0.99
1	9000	61.44	1.04
1	12000	61.49	1.05
1	15000	61.49	1.05
1	18000	61.49	1.03
1	21000	61.49	1.06
1	24000	61.49	1.04
1	27000	61.49	1.09
1	30000	61.49	1.05
2	3000	61.05	1.57
2	6000	61.55	1.59
2	9000	61.55	1.55
2	12000	62.10	1.55
2	15000	61.77	1.63
2	18000	61.60	1.54
2	21000	61.49	1.72
2	24000	61.66	1.68
2	27000	61.88	1.56
2	30000	61.93	1.52
3	3000	60.88	1.87
3	6000	61.55	1.90
3	9000	61.44	1.83
3	12000	61.99	1.76
3	15000	61.82	1.78
3	18000	61.60	1.83
3	21000	61.49	1.81
3	24000	61.77	1.84
3	27000	61.93	1.87
3	30000	61.82	1.83
