ngramme	nfeatures	precision	test_time
1	3000	61.27	1.11
1	6000	61.22	1.05
1	9000	61.05	1.02
1	12000	60.61	1.04
1	15000	60.61	1.05
1	18000	60.61	1.05
1	21000	60.61	1.07
1	24000	60.61	1.05
1	27000	60.61	1.19
1	30000	60.61	1.19
2	3000	61.93	1.76
2	6000	61.99	1.74
2	9000	61.44	1.74
2	12000	61.77	1.75
2	15000	61.38	1.74
2	18000	60.99	1.70
2	21000	60.99	1.54
2	24000	60.88	1.58
2	27000	60.72	1.53
2	30000	60.99	1.53
3	3000	61.88	1.82
3	6000	62.10	1.85
3	9000	61.44	1.78
3	12000	61.49	1.79
3	15000	60.99	1.78
3	18000	60.94	1.79
3	21000	60.88	1.81
3	24000	60.66	1.85
3	27000	60.72	1.85
3	30000	60.99	1.78
