ngramme	nfeatures	precision	test_time
1	3000	61.16	1.05
1	6000	61.16	1.05
1	9000	60.88	1.05
1	12000	60.39	1.05
1	15000	60.39	1.04
1	18000	60.39	1.04
1	21000	60.39	1.06
1	24000	60.39	1.06
1	27000	60.39	1.05
1	30000	60.39	1.04
2	3000	61.71	1.49
2	6000	61.60	1.54
2	9000	61.27	1.55
2	12000	60.99	1.55
2	15000	61.10	1.55
2	18000	60.77	1.56
2	21000	60.88	1.56
2	24000	60.83	1.55
2	27000	60.88	1.56
2	30000	60.99	1.57
3	3000	61.66	1.77
3	6000	61.55	1.76
3	9000	61.38	1.76
3	12000	60.88	1.78
3	15000	61.16	1.77
3	18000	60.88	1.77
3	21000	60.94	1.88
3	24000	61.05	1.79
3	27000	61.05	1.77
3	30000	60.77	1.80
