ngramme	nfeatures	precision	test_time
1	3000	60.94	1.20
1	6000	60.99	1.05
1	9000	61.82	1.16
1	12000	61.88	1.16
1	15000	61.88	1.01
1	18000	61.88	1.13
1	21000	61.88	1.09
1	24000	61.88	1.02
1	27000	61.88	1.01
1	30000	61.88	1.01
2	3000	60.72	2.01
2	6000	60.22	2.06
2	9000	60.50	1.94
2	12000	60.99	1.99
2	15000	60.83	2.08
2	18000	60.77	1.96
2	21000	60.55	2.14
2	24000	61.66	2.06
2	27000	61.77	2.15
2	30000	61.82	1.99
3	3000	59.89	2.93
3	6000	59.89	2.69
3	9000	60.33	2.80
3	12000	60.50	2.85
3	15000	61.27	2.79
3	18000	60.99	3.09
3	21000	61.10	3.08
3	24000	61.27	2.91
3	27000	61.38	2.81
3	30000	61.88	2.98
