ngramme	nfeatures	precision	test_time
1	3000	61.71	1.04
1	6000	61.55	1.04
1	9000	60.94	1.04
1	12000	60.83	1.03
1	15000	60.83	1.04
1	18000	60.83	1.03
1	21000	60.83	1.04
1	24000	60.83	1.04
1	27000	60.83	1.04
1	30000	60.83	1.02
2	3000	61.66	1.95
2	6000	62.21	2.02
2	9000	62.93	1.81
2	12000	62.71	1.81
2	15000	62.93	1.81
2	18000	62.54	1.83
2	21000	62.65	1.88
2	24000	62.60	1.90
2	27000	62.32	1.92
2	30000	62.43	1.92
3	3000	61.66	2.73
3	6000	62.15	2.72
3	9000	62.49	2.69
3	12000	62.87	2.71
3	15000	63.04	2.62
3	18000	62.93	2.60
3	21000	62.87	2.78
3	24000	63.09	2.93
3	27000	62.65	2.86
3	30000	62.49	2.62
