ngramme	nfeatures	precision	test_time
1	3000	61.71	0.99
1	6000	61.27	0.98
1	9000	61.49	0.98
1	12000	61.55	0.99
1	15000	61.55	0.98
1	18000	61.55	0.98
1	21000	61.55	0.98
1	24000	61.55	0.99
1	27000	61.55	0.98
1	30000	61.55	0.99
2	3000	61.49	1.50
2	6000	61.66	1.53
2	9000	61.77	1.64
2	12000	61.88	1.59
2	15000	61.88	1.51
2	18000	61.88	1.51
2	21000	62.04	1.51
2	24000	62.04	1.52
2	27000	62.10	1.51
2	30000	62.10	1.52
3	3000	61.55	1.79
3	6000	61.44	1.81
3	9000	61.38	1.75
3	12000	61.66	1.75
3	15000	61.82	1.75
3	18000	61.71	1.81
3	21000	61.99	1.76
3	24000	61.99	1.79
3	27000	62.10	1.76
3	30000	62.10	1.77
