ngramme	nfeatures	precision	test_time
1	3000	61.88	1.14
1	6000	61.93	1.09
1	9000	62.38	1.06
1	12000	62.21	1.12
1	15000	62.04	1.15
1	18000	62.04	1.07
1	21000	62.04	1.06
1	24000	62.04	1.03
1	27000	62.04	1.06
1	30000	62.04	1.05
2	3000	60.17	1.87
2	6000	60.50	1.89
2	9000	61.05	1.88
2	12000	60.99	1.86
2	15000	60.94	1.85
2	18000	60.66	2.05
2	21000	61.22	2.06
2	24000	61.66	2.07
2	27000	61.88	2.06
2	30000	62.32	2.06
3	3000	60.11	2.94
3	6000	59.83	2.81
3	9000	60.44	2.63
3	12000	60.72	2.62
3	15000	60.66	2.92
3	18000	60.94	2.81
3	21000	61.10	2.86
3	24000	61.44	2.58
3	27000	61.60	2.66
3	30000	61.99	2.93
