ngramme	nfeatures	precision	test_time
1	3000	61.93	1.18
1	6000	61.16	1.17
1	9000	61.10	1.16
1	12000	61.05	1.03
1	15000	61.16	1.01
1	18000	61.16	1.01
1	21000	61.16	1.13
1	24000	61.16	1.03
1	27000	61.16	1.12
1	30000	61.16	1.04
2	3000	61.77	1.56
2	6000	61.88	1.52
2	9000	61.93	1.58
2	12000	61.49	1.73
2	15000	61.49	1.53
2	18000	61.44	1.53
2	21000	61.71	1.56
2	24000	61.60	1.57
2	27000	61.71	1.63
2	30000	61.77	1.54
3	3000	61.82	1.86
3	6000	62.10	1.78
3	9000	61.93	1.86
3	12000	61.55	1.88
3	15000	61.60	1.80
3	18000	61.77	1.81
3	21000	61.77	1.91
3	24000	61.60	1.78
3	27000	61.88	1.89
3	30000	61.88	1.78
