ngramme	nfeatures	precision	test_time
1	3000	61.33	1.01
1	6000	61.44	1.01
1	9000	62.27	1.09
1	12000	61.88	1.10
1	15000	61.88	1.11
1	18000	61.88	1.12
1	21000	61.88	1.10
1	24000	61.88	1.09
1	27000	61.88	1.03
1	30000	61.88	1.05
2	3000	60.28	1.84
2	6000	60.55	1.81
2	9000	61.22	1.81
2	12000	61.49	1.97
2	15000	61.27	1.88
2	18000	61.22	1.80
2	21000	61.27	1.81
2	24000	61.33	1.80
2	27000	61.33	1.85
2	30000	61.66	1.78
3	3000	60.06	2.57
3	6000	60.28	2.59
3	9000	60.72	2.59
3	12000	61.10	2.55
3	15000	61.22	2.72
3	18000	61.33	2.67
3	21000	61.38	2.58
3	24000	61.55	2.57
3	27000	61.71	2.59
3	30000	61.82	2.68
