ngramme	nfeatures	precision	test_time
1	3000	61.66	1.07
1	6000	61.27	1.06
1	9000	61.10	1.07
1	12000	60.72	1.12
1	15000	60.72	1.09
1	18000	60.72	1.15
1	21000	60.72	1.16
1	24000	60.72	1.19
1	27000	60.72	1.12
1	30000	60.72	1.14
2	3000	61.82	1.66
2	6000	62.04	1.63
2	9000	61.49	1.59
2	12000	61.49	1.74
2	15000	61.38	1.64
2	18000	61.05	1.81
2	21000	60.99	1.74
2	24000	60.77	1.59
2	27000	60.83	1.60
2	30000	60.83	1.59
3	3000	61.88	1.87
3	6000	61.88	1.81
3	9000	61.60	1.81
3	12000	61.44	1.93
3	15000	61.22	1.94
3	18000	60.99	1.88
3	21000	61.05	1.85
3	24000	60.77	1.94
3	27000	60.83	1.89
3	30000	60.88	1.88
