ngramme	nfeatures	precision	test_time
1	3000	62.10	1.04
1	6000	61.77	1.02
1	9000	61.60	1.03
1	12000	61.38	1.03
1	15000	61.44	1.05
1	18000	61.44	1.09
1	21000	61.44	1.12
1	24000	61.44	1.11
1	27000	61.44	1.11
1	30000	61.44	1.10
2	3000	61.71	1.64
2	6000	61.27	1.55
2	9000	61.55	1.52
2	12000	61.33	1.64
2	15000	61.16	1.51
2	18000	61.33	1.52
2	21000	61.60	1.53
2	24000	61.77	1.52
2	27000	61.77	1.53
2	30000	61.77	1.53
3	3000	61.77	1.74
3	6000	61.16	1.71
3	9000	61.27	1.67
3	12000	61.33	1.72
3	15000	61.38	1.75
3	18000	61.55	1.80
3	21000	61.77	1.91
3	24000	61.77	1.80
3	27000	61.71	1.90
3	30000	61.77	1.73
