ngramme	nfeatures	precision	test_time
1	3000	76.82	2.44
1	6000	76.82	2.49
1	9000	77.15	2.94
1	12000	77.32	3.02
1	15000	77.32	3.03
1	18000	77.32	3.04
1	21000	77.32	3.09
1	24000	77.32	3.01
1	27000	77.32	2.97
1	30000	77.32	3.04
2	3000	77.98	3.98
2	6000	79.14	4.64
2	9000	78.64	5.75
2	12000	78.15	6.24
2	15000	78.48	6.59
2	18000	78.81	6.51
2	21000	78.31	7.17
2	24000	78.31	7.37
2	27000	78.15	7.25
2	30000	77.98	7.46
3	3000	78.31	5.41
3	6000	78.97	6.19
3	9000	78.31	6.89
3	12000	78.31	7.71
3	15000	78.81	8.05
3	18000	78.31	8.59
3	21000	78.97	8.89
3	24000	79.30	8.86
3	27000	78.64	9.45
3	30000	78.48	9.41
