ngramme	nfeatures	precision	test_time
1	3000	62.54	3.53
1	6000	62.60	3.84
1	9000	62.49	4.10
1	12000	62.49	4.34
1	15000	62.49	4.66
1	18000	62.49	4.25
1	21000	62.49	4.68
1	24000	62.49	4.32
1	27000	62.49	4.24
1	30000	62.49	4.23
2	3000	62.38	4.54
2	6000	62.65	5.46
2	9000	62.49	5.87
2	12000	62.71	6.30
2	15000	62.65	6.80
2	18000	62.82	7.01
2	21000	62.93	7.24
2	24000	62.87	7.41
2	27000	62.87	7.42
2	30000	62.87	7.00
3	3000	62.49	4.93
3	6000	62.76	6.17
3	9000	62.65	6.49
3	12000	62.82	6.99
3	15000	62.65	7.20
3	18000	62.65	7.73
3	21000	62.76	8.29
3	24000	62.71	8.41
3	27000	62.71	7.91
3	30000	62.71	7.59
